Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33708266	2018-10-10	Lawyer/Attorney (Brazil)	Legal,Social	Brazil	Investigate	090	-2	Citizen (Brazil)	Social,General Population / Civilian / Social	Brazil	48356788	1	Reuters News				Brazil	-15.8307	-47.6127
33708305	2018-10-10	Lawyer/Attorney (Brazil)	Legal,Social	Brazil	Make an appeal or request	020	3	Police (Brazil)	Government,Police	Brazil	48356789	1	Reuters News				Brazil	-15.8307	-47.6127
33708306	2018-10-10	Lawyer/Attorney (Brazil)	Legal,Social	Brazil	Make an appeal or request	020	3	Citizen (Brazil)	Social,General Population / Civilian / Social	Brazil	48356789	1	Reuters News				Brazil	-15.8307	-47.6127
33708307	2018-10-10	Lawyer/Attorney (Brazil)	Legal,Social	Brazil	Investigate crime, corruption	091	-2	Citizen (Brazil)	Social,General Population / Civilian / Social	Brazil	48356789	1	Reuters News				Brazil	-15.8307	-47.6127
33708297	2018-10-10	Lawyer/Attorney (Brazil)	Legal,Social	Brazil	Investigate	090	-2	Citizen (Brazil)	Social,General Population / Civilian / Social	Brazil	48356806	1	Reuters News				Brazil	-15.8307	-47.6127
33708136	2018-10-11	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make a visit	042	1.9	Indonesia		Indonesia	48356422	6	PNA (Philippines News Agency)			Provinsi Bali	Indonesia	-8.5	115
33708137	2018-10-11	Indonesia		Indonesia	Host a visit	043	2.8	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	48356422	6	PNA (Philippines News Agency)			Provinsi Bali	Indonesia	-8.5	115
33708123	2018-10-11	Comelec	Elections Ministry,Government,Executive	Philippines	Make an appeal or request	020	3	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48356423	1	PNA (Philippines News Agency)	Dumaguete City	Province of Negros Oriental	Central Visayas	Philippines	9.307	123.307
33708093	2018-10-11	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make statement	010	0	Army Personnel (Philippines)	Government,Military	Philippines	48356424	5	PNA (Philippines News Agency)	Fort Bonifacio	Makati City	National Capital Region	Philippines	14.5272	121.042
33707940	2018-10-12	Aam Aadmi Party	Far Left,(National) Major Party,Parties,Ideological	India	Criticize or denounce	111	-2	Government (India)	Government	India	48355982	1	Hindustan Times	Chandigarh		Union Territory of Chandigarh	India	30.7363	76.7884
33707939	2018-10-12	Member of Legislative (Govt) (India)	Legislative / Parliamentary,Government	India	Make statement	010	0	Aam Aadmi Party	Far Left,(National) Major Party,Parties,Ideological	India	48355982	3	Hindustan Times	Delhi		National Capital Territory of Delhi	India	28.6538	77.229
33707947	2018-10-12	António Manuel de Oliveira Guterres	Center Left,Ideological,Global Diplomatic IGOs,(National) Minor Party,Global,International Government Organization,Government,Parties,Catholic,International Religious,Elite	Portugal	Make empathetic comment	018	3.4	Citizen (Indonesia)	General Population / Civilian / Social,Social	Indonesia	48356112	1	Al Jazeera English				Portugal	38.7167	-9.13333
33707948	2018-10-12	António Manuel de Oliveira Guterres	Center Left,Ideological,Global Diplomatic IGOs,(National) Minor Party,Global,International Government Organization,Government,Parties,Catholic,International Religious,Elite	Portugal	Make a visit	042	1.9	Indonesia		Indonesia	48356112	2	Al Jazeera English				Indonesia	-6.21462	106.845
33707951	2018-10-12	Indonesia		Indonesia	Host a visit	043	2.8	António Manuel de Oliveira Guterres	Center Left,Ideological,Global Diplomatic IGOs,(National) Minor Party,Global,International Government Organization,Government,Parties,Catholic,International Religious,Elite	Portugal	48356112	2	Al Jazeera English				Indonesia	-6.21462	106.845
33707949	2018-10-12	United Nations	Global Diplomatic IGOs,International Government Organization,Global		Make a visit	042	1.9	Indonesia		Indonesia	48356112	4	Al Jazeera English	Balaroa		Sulawesi Tengah	Indonesia	-0.9082	119.826
33707950	2018-10-12	Jusuf Kalla	Executive,Elite,Government,Executive Office	Indonesia	Make a visit	042	1.9	Indonesia		Indonesia	48356112	4	Al Jazeera English	Balaroa		Sulawesi Tengah	Indonesia	-0.9082	119.826
33707952	2018-10-12	Indonesia		Indonesia	Host a visit	043	2.8	United Nations	Global Diplomatic IGOs,International Government Organization,Global		48356112	4	Al Jazeera English	Balaroa		Sulawesi Tengah	Indonesia	-0.9082	119.826
33707953	2018-10-12	Indonesia		Indonesia	Host a visit	043	2.8	Jusuf Kalla	Executive,Elite,Government,Executive Office	Indonesia	48356112	4	Al Jazeera English	Balaroa		Sulawesi Tengah	Indonesia	-0.9082	119.826
33708018	2018-10-12	Turkey		Turkey	Return, release person(s)	0841	7	Religion (United States)	Social,National Religious	United States	48356135	2	Al Jazeera English	Ankara		Ankara	Turkey	39.9199	32.8543
33708053	2018-10-12	Ministry (United Kingdom)	Government	United Kingdom	fight with small arms and light weapons	193	-10	Citizen (United Kingdom)	General Population / Civilian / Social,Social	United Kingdom	48356308	2	The Scotsman	City of Westminster	Greater London	England	United Kingdom	51.5	-0.11667
33708111	2018-10-12	Alan Peter Cayetano	Elite,Parties,Foreign Ministry,(National) Minor Party,Government,Executive,Center Right,Ideological,Legislative / Parliamentary	Philippines	Express intent to meet or negotiate	036	4	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48356383	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33708116	2018-10-12	Comelec	Elections Ministry,Government,Executive	Philippines	Make an appeal or request	020	3	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48356387	1	PNA (Philippines News Agency)		Zamboanga City	Zamboanga Peninsula	Philippines	6.91348	122.07
33708117	2018-10-12	Armed Gang (Philippines)	Unidentified Forces	Philippines	Arrest, detain, or charge with legal action	173	-5	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48356390	2	PNA (Philippines News Agency)	Lambayong	Province of Sultan Kudarat	Soccsksargen	Philippines	6.51944	125.044
33708118	2018-10-12	Armed Gang (Philippines)	Unidentified Forces	Philippines	fight with small arms and light weapons	193	-10	Police (Philippines)	Police,Government	Philippines	48356390	6	PNA (Philippines News Agency)			Barima-Waini Region	Guyana	7.66667	-59.75
33708113	2018-10-12	Domestic Affairs (Philippines)	Government,Interior / Home Ministry,Executive	Philippines	Praise or endorse	051	3.4	House of Representatives (Philippines)	Government,Legislative / Parliamentary	Philippines	48356395	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33708091	2018-10-12	Governor (Philippines)	Government,Provincial,Local	Philippines	Express intent to cooperate	030	4	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48356397	3	PNA (Philippines News Agency)	Batangas	Province of Batangas	Calabarzon	Philippines	13.7567	121.058
33708090	2018-10-12	Information Ministry (Philippines)	Government,Information / Communication / Transparency Ministry,Executive	Philippines	Make statement	010	0	Governor (Philippines)	Government,Provincial,Local	Philippines	48356397	4	PNA (Philippines News Agency)	Batangas	Province of Batangas	Calabarzon	Philippines	13.7567	121.058
33708107	2018-10-12	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make statement	010	0	Philippines		Philippines	48356399	3	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33708108	2018-10-12	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make empathetic comment	018	3.4	Citizen (Indonesia)	Social,General Population / Civilian / Social	Indonesia	48356399	3	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
